Recording ID,ISRC,Track Title,Release Date,Pline,Cline,Duration,Preview Link,Apple Link,Apple Composer,Available Stores,YouTube URL
1266138766,ITMQU1700138,Funky Feeling,2017-08-01,2017 Solid State Disco,℗ 2017 Solid State Disco,365806,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview118/v4/db/df/a7/dbdfa73b-5ba1-4605-b116-834e7e95baf0/mzaf_1671661639649594209.plus.aac.p.m4a,https://music.apple.com/album/funky-feeling/1266138032?i=1266138766&uo=5,Gustavo Brito,youtube; amazonmusic; applemusic; spotify; googleplay; pandora,https://www.youtube.com/watch?v=GCaO4Iwg9HE; https://www.youtube.com/watch?v=A750129931103409
1490774704,QZK6Q1981015,Cosby Dream,2019-12-08,2019 Truth Music Connection/ Turner Life LLC,℗ 2019 Truth Music Connection/ Turner Life LLC,204893,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/4e/f9/0c/4ef90cc6-c5a2-c4cf-07d6-8daccdc7771e/mzaf_17903289230601183040.plus.aac.p.m4a,https://music.apple.com/album/cosby-dream/1490774692?i=1490774704&uo=5,,deezer; applemusic; spotify; tidal,
1503918537,QZFZ72058526,Hurry Up,2020-03-21,2020 WeDuzzit,℗ 2020 WeDuzzit,173087,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview123/v4/cc/90/d1/cc90d182-1021-4458-f473-19e7b5637233/mzaf_4050168982045633237.plus.aac.p.m4a,https://music.apple.com/album/hurry-up/1503918518?i=1503918537&uo=5,,tidal; applemusic; amazonmusic; youtube; spotify,https://www.youtube.com/watch?v=G6ut25z9LdA; https://www.youtube.com/watch?v=A881033990551858
1630333898,PLH492255631,Soothing Rain(Loopable),2022-06-17,2022 Celestina's Rain Castle Music,℗ 2022 Celestina's Rain Castle Music,52013,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/09/07/0f/09070f6f-f015-e2d4-09ba-0071949f8505/mzaf_8245953333431781025.plus.aac.p.m4a,https://music.apple.com/album/soothing-rain-loopable/1630333565?i=1630333898&uo=5,,,
1626175524,QZHNC2285325,Join My Reality,2022-05-25,2022 alien power tools records,℗ 2022 alien power tools records,153231,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/59/b1/2b/59b12b47-ee96-bb56-6238-424f135606d8/mzaf_2307226162400726551.plus.aac.p.m4a,https://music.apple.com/album/join-my-reality/1626175511?i=1626175524&uo=5,,spotify,
919298933,GB8WR1200010,Words Will Never Be Enough,2014-09-15,2012 Something Music Ltd,℗ 2012 Something Music Ltd,466013,https://audio-ssl.itunes.apple.com/itunes-assets/Music3/v4/b3/06/2c/b3062cd1-f533-f478-349b-8712bec6fc37/mzaf_1874523700549033389.plus.aac.p.m4a,https://music.apple.com/album/words-will-never-be-enough/919296811?i=919298933&uo=5,,,
1648268869,QZS652207139,Wasted,2022-10-04,,℗ 2022 Sofasound & Zyra,222857,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/87/3a/2a/873a2a28-e7bd-ee33-119a-d2c43beefc82/mzaf_14375427100479484985.plus.aac.p.m4a,https://music.apple.com/album/wasted/1648268868?i=1648268869&uo=5,,amazonmusic; applemusic; youtube; tidal; pandora; spotify,https://www.youtube.com/watch?v=VUpD9jph4
1240847616,TCADB1755610,Didn't Expect You,2017-05-25,,℗ 2017 Fabrice Lamontagne,99394,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview127/v4/6a/5a/43/6a5a43e8-a9b6-f045-e5de-9239249db811/mzaf_7369280200833366502.plus.aac.p.m4a,https://music.apple.com/album/didnt-expect-you/1240847612?i=1240847616&uo=5,,applemusic; youtube; amazonmusic; googleplay; tidal; spotify; iheartradio,https://www.youtube.com/watch?v=A442665190898995; https://www.youtube.com/watch?v=EsQXKFjLOS0
1091877440,USCGJ1607226,Outside the Store,2016-03-10,2016 Waters Lobby,℗ 2016 Waters Lobby,177122,https://audio-ssl.itunes.apple.com/itunes-assets/Music69/v4/73/0e/c5/730ec5da-6eaa-8f93-9790-e802741b54cc/mzaf_2495109310825397473.plus.aac.p.m4a,https://music.apple.com/album/outside-the-store/1091876731?i=1091877440&uo=5,,tidal; googleplay; youtube; amazonmusic; applemusic; spotify,https://www.youtube.com/watch?v=FXpBIJ11Co
661758065,FR6V81798623,River Jordon,2013-06-13,2002 Reggae On Top,℗ 2002 Reggae On Top,241947,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview71/v4/54/51/c7/5451c7da-5158-83cb-3fa9-449971e075d7/mzaf_8989952082244330818.plus.aac.p.m4a,https://music.apple.com/album/river-jordon/661757870?i=661758065&uo=5,,spotify; applemusic; youtube; amazonmusic,https://www.youtube.com/watch?v=Uy840siD6gA
