Work ID,ISWC,Work Title,Work Alternative Titles,Linked ISRCs
Z1167T,,SPARK PLUGG,06.PAC03099_SPARK_PLUGG; 06.PAC03099 SPARK PLUGG,
BV9UQG,T3149046828,BEBC_OFFBEATLOVESTORY_STINGER1D_120,BEBC_OFFBEATLOVESTORY,
P3127K,,PES MOU GIATI,MA SYMPONIE INACHEVEE,
A5303N,T9033808058,AVAZ AVAZ,PESIME TAKIL DIYE BEN MI SOYLEDIM,TR1670600622
D4191E,T0117036971,DROP DEAD GORGEOUS SERIES TWO - THEME,DROP DEAD GORGEOUS SERIES TWO,
PA2Y4D,T9262808195,PHASER HIT,PHASERHIT; SOUND DESIGN TRAILER TOOLS 5 CUT 58; MSJ-MSJ-0037-05801; MSJ-0037-58,UKDBG1800603
N7073M,T9109442413,NO. 1,NO 1,ROROT1104101
W67290,,WINDSTORM,WIND STORM,GBVVQ1028369; GBAYE7900588
C8695W,,CONSPIRACY STRIP CLUB,CONSPIRACY STRIP CLUB FEATURING PIERETTE ET GEORGES,FR9W11104918
PVCNNN,,PANDORA'S BOX,CENTRE POMPIDOU,QMFME1330427
BVATVS,,BRAZILIAN GROOVES,BRAZILIAN GROOVES (LISBOA REMIX),BRQT61000004; QZ5CV1736503; BRQT61000005
K1740Q,,KAVNA BANE BOLELE KOILIYA,MANN KARE HUM BAAGWA HO JAAI,GBCKG0501800
I19488,T0714971615,I SINGS,I SING; I SINGS,USI4R0806813; PHO010700116; USAF50900002; USSM19922332; USCGH1893651; TCADB1754039; TCAEP1901831; USA2P1388540; USSM10010955; USSM10015897; CACWV1769743; USWB10302603; GBLPF0020022; USSM10016166; USSM10016222; USETB1500377; GBEQT1300006; GB5L62008214; QZNMV2027975
SD9K2C,,SEE THE GIANT,GOLIATH,
HA3PQS,,HOME STING,HOMESTING; SCSO-0011-60; SCSO-SCSO-0011-06001; WARM FOLK SONGS CUT 60,
S8891G,T0371190907,SI NO NOS VEMOS,SOLOS Y JUNTOS,
MVCA18,T0724179503,MY LOVE IS A FLOWER,MY LOVE IS A FLOWER (JUST BEGINNING TO BLOOM),GBAJE7900404; DEW670601405
JV7SRN,,JENNYS BRIEF,REMEMBERRING,
FVAZOD,,FADO,AXS-AXW-4003-00201; AXW-4003-2; PORTUGAL E GUITARAS CUT 2,
Z1547O,,SWITCHED SCORE,BED 1 (SWITCHED CUE); SWITCHED MAIN TITLE; HOT HOUSE (SWITCHED CUE); SWITCHED END TITLE,
