Work ID,Work ISWC,Party ID,Party IPI Name,Party Full Name,Party Role
S2875N,,1170581,120681014,ARTHUR J LABRIOLA,Composer
B4916D,T8014098104,1177565,40025834,JUERGEN ECKE,Composer
D6857O,,1352827,710493172,ANDRE FRANCE GORDON,Composer
F06503,T0410004464,1078183,,MUSERK LLC,OriginalPublisher
YD5M3H,T9285885338,1078183,,MUSERK LLC,RightsAdministrator
OC5CRL,T9169921146,1518448,13126633,JOSEF HADAR,Composer
MVA388,,104656,273585243,MATTHEW GUY PIERSON,ComposerLyricist
N63816,,1551862,,DONG YEONG KIM,Composer
I83260,,1166186,44139890,STEPHEN DONALD CUMMINGS,Composer
K19528,T9136021028,1296928,337602765,REGINALD ARVIZU,ComposerLyricist
BV9NIP,T8037462399,935505,675587588,EDITION LETZTE EISENBAHN,OriginalPublisher
RV85L3,,705910,521224798,EDITION CURTAINS UP,OriginalPublisher
BVAOR5,T8037652828,725812,23276307,PAINTED DESERT MUSIC CORP,OriginalPublisher
Z31650,T0026078954,716372,503659557,KOBALT MUSIC PUB AMERICA INC,OriginalPublisher
L5235J,,727264,,SUPER CASSETTES,OriginalPublisher
P7497L,,728601,467192921,TRIDIMENSIONAL SRL,OriginalPublisher
S1390K,,845736,65614476,EDICOES MUSICAIS TAPAJOS LTDA,OriginalPublisher
CVBDT0,T9223775891,905464,229216674,INTEGRITY'S PRAISE! MUSIC,OriginalPublisher
SVEVXM,T8039658942,825613,,ONE MAN BAND PUB BRUCE HAMMOND,OriginalPublisher
AC14EV,,982223,588411031,MATTHEW NEWMAN DUNNE,ComposerLyricist
L3748Y,T9029131735,813336,460395650,MUSIC SALES CORPORATION,OriginalPublisher
H7615K,,992525,18513204,LORENZ PUBLISHING CO,OriginalPublisher
C8695W,,931954,,BONSAI MUSIC,OriginalPublisher
DB19DT,,971959,421471687,MISHKA BEAST,OriginalPublisher
OC3OE3,,940100,748640024,RAYDIA MUSIC LIBRARY,OriginalPublisher
LV7EZ3,T9133445462,725812,23276307,PAINTED DESERT MUSIC CORP,OriginalPublisher
O4448T,,802951,201732908,BLUEWATER MUSIC CORP. D/B/A MIGHTY NICE MUSIC,OriginalPublisher
BA6CP3,,877972,,SAYCO (SOCIEDAD DE AUTORES Y COMPOSITORES DE COLOMBIA),OriginalPublisher
LVAJQM,,941222,,TELEVISA MUSIC PUB S.A. DE C.V,OriginalPublisher
CV7KQ1,T9154661004,797860,336487342,RON WASSERMAN PUBLISHING,OriginalPublisher
P4336H,T9028527039,808498,,RAGGS KIDS CLUB MUSIC,OriginalPublisher
Z0896J,,871998,,FEI XING SHI YOU XIAN GONG SI,OriginalPublisher
T03498,T0727358975,879617,70331022,THE END OF MUSIC,OriginalPublisher
D6857O,,895861,588833686,ABOOD MUSIC AND FILM,OriginalPublisher
MV7DKA,T9211319334,980849,280535470,JONATHAN MARK BUCKLAND,ComposerLyricist
HV7G50,,752653,601191692,BMG GOLD SONGS,RightsAdministrator
LV7H1V,,752653,601191692,BMG GOLD SONGS,RightsAdministrator
Z63823,T9143556325,814571,,BRAD GILLIS MUSIC,OriginalPublisher
GV9E9H,T9112993041,949862,227884830,ERIC STEPHEN CUNNINGHAM,ComposerLyricist
BV7Z73,,752642,595808890,BMG PLATINUM SONGS,RightsAdministrator
HA1OQ1,T9010351550,893130,351163883,FEVER PITCH MUSIC,OriginalPublisher
MV7DKA,T9211319334,979783,280535764,GUY RUPERT BERRYMAN,ComposerLyricist
B3579L,,980183,291716746,JAMES ROBERT LEONARD SULLIVAN,Composer
CVBDT0,T9223775891,872293,,MAP CATALOGS,RightsAdministrator
Z0516Z,,910246,5876576,WARNER/CHAPPELL MUSIC HOLLAND,OriginalPublisher
VV7MR6,T9093105807,922070,697403510,CD BABY ALPHA,RightsAdministrator
FV98R2,T7034846976,950513,485018350,PIERRE LOUIS JEAN DUBOST,Composer
H7119L,T0023916597,854645,,FAIRYLAND STUDIO,OriginalPublisher
OV7CQ1,,906396,,1545 PUB,OriginalPublisher
X0901N,T8017377628,910354,263286262,TENYOR MUSIC,SubPublisher
M5368W,,926076,60796953,WC MUSIC CORP,OriginalPublisher
PVBJ47,,934619,,SOIL OF ULTIMATE LIGHT MUSIC S,OriginalPublisher
GV8NKO,,883307,576134244,BMG RIGHTS MANAGEMENT (UK) LTD,OriginalPublisher
TVDVO6,,903163,662407353,BYIOME MUIR MUSIC,OriginalPublisher
I81760,T9007578623,910551,717280153,NOKAWI MUSIC,OriginalPublisher
BV9NIP,T8037462399,923951,697730100,SONY/ATV MUSIC PUBLISHING ALLEGRO (GERMANY) II EDITION,OriginalPublisher
J77410,T0702414332,974980,32645007,CYNTHIA WEIL,Composer
AV7EH6,T8010103228,752642,595808890,BMG PLATINUM SONGS,RightsAdministrator
RV85L3,,924010,706068944,INDIPENDENZA BERLIN EDITION,OriginalPublisher
TV85UO,T0042389387,979478,149816442,FREDERIC HOLYSZEWSKI,Composer
MVAZNA,,821680,23764981,PEER INTERNATIONAL CORP,OriginalPublisher
ZV7K79,T9262062726,910354,263286262,TENYOR MUSIC,OriginalPublisher
M2369G,T0430176967,854568,1174826144,SPIRIT TWO MUSIC CRESCENDO,OriginalPublisher
B4660Q,T3058801886,834320,,CAVEMAN JAMS,OriginalPublisher
MVCFOX,,1123289,192957621,ALLAN APLL PINEDA,ComposerLyricist
G4750K,T0700669777,1160055,,DOO HYUN LEE,ComposerLyricist
C5050S,,1277325,,GURVINDER BRAR KARAMJJT HERO,Composer
HVB34O,T9211684763,1702464,,DAVE CLARK,ComposerLyricist
P7868L,T1066511019,1078183,,MUSERK LLC,OriginalPublisher
NVCS2G,,1078183,,MUSERK LLC,RightsAdministrator
D4191E,T0117036971,1163429,455399615,TRISTIN NORWELL,Composer
VV7MR6,T9093105807,1191242,129514869,KAREN ROBIN BRENNAN,Composer
TC66ZW,T9305829770,1123992,763919993,RACHEL AGATHA KEEN,ComposerLyricist
K19528,T9136021028,1166160,337604857,JONATHAN DAVIS,ComposerLyricist
P5721G,,1238950,,MONIKA HERZIG,Composer
K16600,,1364778,264879515,MARTIN JAMES SMITH,ComposerLyricist
NV8HU2,,1556051,,MEHMET CINAR,Composer
VB34W9,,1566709,,LARS JEBSEN,Composer
M59097,T9108033814,1195936,437032971,SOMAYAJULA MURTY,Composer
YD5M3H,T9285885338,1266127,122067120,VETURI SUNDARARAMA MURTHY,Lyricist
SVBJIY,,1561814,160528487,ROGER ENO,ComposerLyricist
B41824,T7000029289,1577653,76185849,STEPHANIE NICKS,Composer
AV958C,,1592206,,AEREA NEGROT,Composer
AVD7XG,T8027348182,1121357,87954321,KURT CRESS,Composer
JV7AQI,,1297034,,RORY EDWARD GILLIGAN,Composer
I6638P,,1336116,232870869,MICHAEL PATRICK KELLY,Composer
DVBMDK,,1535381,688382686,HYUK WOO KWON,Lyricist
