Work ID,Work ISWC,Party ID,Party IPI Name,Party Full Name,Party Role
D4191E,T0117036971,868773,,HAT TRICK MUSIC LTD.,OriginalPublisher
PVCNNN,,875073,,ALSON MUSIC,OriginalPublisher
Z1167T,,857299,574164244,ELECTRIC SPLASH MUSIC,OriginalPublisher
PV7DOZ,,752642,595808890,BMG PLATINUM SONGS,RightsAdministrator
HVB3ZQ,,922265,456659316,SKY BLUE MUSIC,OriginalPublisher
M3212N,,1257905,,MARK SAMS,ComposerLyricist
C01794,,1558944,,NICHOLAS EDWARD CAVE,Composer
SH9S46,T0020716066,1160845,143042221,DANNY ROBAS,Arranger
RA5ZMW,T3005234486,1624138,146355766,OLIVIER ROBERT DELEVINGNE,Composer
DA115U,,949254,11031073,HEINZ FUNK (HAMBURG),Composer
RA8A02,,956764,258587515,CRAIG MORRIS,Composer
I19488,T0714971615,861339,338164558,SONY/ATV TUNES LLC,RightsAdministrator
X8133R,T0023938626,955261,656771900,OLOF MAARTEN LINDSKOG,ComposerLyricist
PVCNNN,,910354,263286262,TENYOR MUSIC,RightsAdministrator
LV7H1V,,888509,,101 PRODUCTION MUSIC PTY LTD,OriginalPublisher
L5607W,T0701023962,926076,60796953,WC MUSIC CORP,RightsAdministrator
L54778,T9023753539,1645659,407608956,JONATHAN PAUL WHEELER,ComposerLyricist
D5002E,,2266769,,CHAZZ GAITHER,Composer
PA2Y4D,T9262808195,2725788,,MUST SAVE JANE APM,OriginalPublisher
DVAN86,T3057884392,372018,505412592,ANDREA GONZALEZ,ComposerLyricist
I19488,T0714971615,325317,342567362,ERICA MONIQUE ATKINS,ComposerLyricist
X19932,,356533,53428783,INCONNU COMPOSITEUR AUTEUR,Composer
L3240P,,3831067,262017597,ROBERT SPRAGG,Composer
E64686,T0465284858,2317422,280115596,EMILIANO GERMAN BRANCCIARI AMARILLO,Composer
FVAZOD,,2725643,542127872,AXS APM,RightsAdministrator
CV9UZZ,T3064114945,366481,487678973,JOSHUA DAVID ANSLEY,ComposerLyricist
DVAN86,T3057884392,361727,475792602,SYLVESTER ALLEN JR SESSOMS,ComposerLyricist
DB19DT,,415102,419157749,MATTHEW ALAN FRIEDMAN,ComposerLyricist
EA82AZ,T9287095038,4573770,822093753,DOMINIQUE MITCHELL,ComposerLyricist
DB0YEY,,3967089,612637366,WALTER BRADFORD,ComposerLyricist
N29864,,2361176,,PAPPU DEAR PAWAN DEVGAN,Composer
MV9XOO,T3060491187,405596,348630746,SETH RAFTER ROBERTS,ComposerLyricist
L5136S,T0114186876,4451954,47034990,DANNY KUSTOW,ComposerLyricist
CV9NOX,,104685,598327301,BLICKER ERIK DAVID,ComposerLyricist
N7073M,T9109442413,1121603,490951137,TUDOR IONESCU,ComposerLyricist
X8995F,,1786036,,CORREA LAURENCE,Composer
SC7TMI,T9053263755,492243,428476532,STUART MICHAEL THOMAS,ComposerLyricist
GE24UF,T3015353427,5072050,295104076,FATIH DOGANER,Arranger
IC8Z82,T0025738617,519234,,ACUM,OriginalPublisher
O26732,,484575,448562431,TRADITIONAL,Composer
X8995F,,2007272,,NICK NAME,Composer
SV99NS,,2014652,550103012,KAMILAH MARSHALL,Composer
GE24UF,T3015353427,611714,,MESAM,OriginalPublisher
H2413E,T0006146662,598709,31312147,UNIVERSAL MUSIC CORP.,RightsAdministrator
C8695W,,616323,344554265,"UNIVERSAL MUSICA, INC.",OriginalPublisher
O55412,T9142912503,615191,353271280,"SONGS OF UNIVERSAL, INC.",RightsAdministrator
L3240P,,668841,,CHRYSALIS MUSIC LTD UK,OriginalPublisher
M3212N,,668841,,CHRYSALIS MUSIC LTD UK,OriginalPublisher
VB0K5R,T0399417389,6376701,747905212,ARTHUR ARAUJO DE FARIA,ComposerLyricist
